Distributor Segmentation,,,,,,,Customer Segmentation,,,,,,,Rep Performance & Incentive Compensation,,,,,,,,,Year-over-Year Growth by Market,,,,,
Distributor,Total Sales,Rank,Cumulative %,Segment,,,Customer Name,Country,Channel,Total Sales,Rank,Segment,,Rep,Manager,Team,Total Sales,Segment,Target,Attainment %,Payout Tier,,Country,2018,2019,2020,2019 Growth %,2020 Growth %
,,,,,,,"Hills, Stroman and Ernser",Germany,Pharmacy,15665366,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Terry-Kub Pharma Plc,Germany,Pharmacy,17495713,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Huels-Klein Pharmaceutical Ltd,Germany,Pharmacy,14550335,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,White Inc Pharm,Germany,Pharmacy,20542811,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Buckridge, Dach and Carroll Pharmaceutical Ltd",Germany,Pharmacy,25142017,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Raynor LLC Pharm,Germany,Pharmacy,21622957,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Okuneva-Corkery Pharma Plc,Germany,Pharmacy,16840527,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Runolfsson-Halvorson Pharm,Germany,Pharmacy,31642569,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kozey-Schroeder Pharma Plc,Germany,Pharmacy,14723207,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Fritsch, Hodkiewicz and Sipes Pharmacy",Germany,Pharmacy,13618070,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Abernathy and Sons,Germany,Pharmacy,20722227,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Spinka, Schowalter and Conn",Germany,Pharmacy,21604758,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Murray PLC,Germany,Pharmacy,12013852,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Lemke Ltd Pharma Plc,Germany,Pharmacy,20699395,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Roob PLC Pharmaceutical Limited,Germany,Pharmacy,22007985,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Parisian Ltd Pharmacy,Germany,Hospital,14442606,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rohan and Sons Pharma Plc,Germany,Pharmacy,21305652,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schaefer-Rolfson Pharmacy,Germany,Pharmacy,25752521,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kshlerin, Ryan and Leuschke Pharm",Germany,Hospital,15476722,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Osinski-Collins,Germany,Hospital,28011167,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Bashirian Group Pharmacy,Germany,Pharmacy,18573169,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,McKenzie-Zemlak Pharm,Germany,Pharmacy,17622491,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Buckridge-Strosin Pharma Plc,Germany,Hospital,30221186,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kris LLC Pharmacy,Germany,Hospital,18272447,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Smith Inc Pharmacy,Germany,Pharmacy,30887275,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rohan PLC Pharmacy,Germany,Pharmacy,13978216,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Welch-Orn Pharm,Germany,Hospital,17144623,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Johnson, Friesen and Torphy Pharm",Germany,Hospital,12656990,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rutherford and Sons Pharmaceutical Ltd,Germany,Hospital,19824807,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Homenick-Larson,Germany,Pharmacy,16467605,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hayes-Kilback Pharma Plc,Germany,Pharmacy,20511137,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Wehner-Stehr,Germany,Pharmacy,33097541,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Runolfsson, Swaniawski and Jaskolski Pharmaceutical Limited",Germany,Pharmacy,36479210,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Cremin-Zemlak Pharma Plc,Germany,Pharmacy,14709283,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Haag, Bradtke and Terry",Germany,Pharmacy,36155634,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schulist LLC Pharmaceutical Limited,Germany,Pharmacy,21735154,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Stanton-Cole Pharma Plc,Germany,Hospital,16630149,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Funk PLC Pharma Plc,Germany,Pharmacy,15286470,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"McClure, Zemlak and Dibbert Pharmacy",Germany,Hospital,13354207,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kris LLC Pharm,Germany,Pharmacy,20255777,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Prohaska, Bogisich and Gutkowski Pharm",Germany,Hospital,19023462,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Quigley-Heathcote Pharm,Germany,Hospital,21522816,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Barton Ltd Pharm,Germany,Pharmacy,26870627,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Mann-Waelchi Pharmacy,Germany,Hospital,18720448,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Hammes, Bashirian and Pacocha",Germany,Pharmacy,13911219,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Medhurst-Beer Pharm,Germany,Pharmacy,28268206,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rohan Inc Pharm,Germany,Hospital,19951746,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Gottlieb-Koss Pharm,Germany,Pharmacy,30339224,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schimmel-Waelchi Pharma Plc,Germany,Pharmacy,17911176,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Pfeffer-Hodkiewicz,Germany,Hospital,16313574,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Steuber, Hills and Botsford",Germany,Pharmacy,22559996,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Wolff Group Pharmaceutical Ltd,Germany,Hospital,14092909,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Feest-Roob Pharmaceutical Limited,Germany,Pharmacy,16699897,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Armstrong, Medhurst and Bogisich Pharmaceutical Ltd",Germany,Hospital,20459841,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schuppe Inc Pharm,Germany,Pharmacy,25768671,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Barrows, Zboncak and Reichert Pharm",Germany,Pharmacy,34539524,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kuhic LLC Pharmaceutical Limited,Germany,Pharmacy,11710500,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Langworth, Olson and Satterfield Pharmacy",Germany,Hospital,31072449,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Block, Thiel and Kuphal Pharm",Germany,Hospital,19367044,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kutch-Marks Pharma Plc,Germany,Hospital,15513302,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rutherford and Sons Pharm,Germany,Hospital,28046966,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Harris, Daugherty and Okuneva Pharmaceutical Limited",Germany,Hospital,17697168,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kunze PLC Pharma Plc,Germany,Hospital,13453584,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Fahey-Flatley,Germany,Hospital,14572760,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Konopelski-Blick,Germany,Hospital,12360135,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Steuber Ltd Pharm,Germany,Hospital,16006057,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Armstrong, Medhurst and Bogisich Pharmacy",Germany,Hospital,12992274,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Mayert-Weber,Germany,Pharmacy,15742177,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Harris-Conroy Pharm,Germany,Pharmacy,23313821,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Koch-Osinski Pharmacy,Germany,Pharmacy,18643316,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Cassin PLC Pharma Plc,Germany,Pharmacy,26126485,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Emard-O'Connell Pharm,Germany,Pharmacy,19971681,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rowe PLC Pharm,Germany,Pharmacy,21546337,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Purdy Ltd Pharm,Germany,Pharmacy,20906037,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Dach Ltd Pharm,Germany,Pharmacy,16935870,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Veum-Kerluke Pharma Plc,Germany,Pharmacy,15752854,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Harris-Conroy Pharmacy,Germany,Pharmacy,18059065,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,VonRueden-Adams Pharmaceutical Limited,Germany,Pharmacy,14591022,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Stanton-Cole Pharmacy,Germany,Pharmacy,19043192,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Jakubowski Inc Pharmacy,Germany,Pharmacy,22199526,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schaefer Group,Germany,Pharmacy,23902163,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Boyer and Sons,Germany,Pharmacy,17718374,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Jakubowski Inc Pharma Plc,Germany,Hospital,13945119,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Fadel-West Pharmaceutical Ltd,Germany,Pharmacy,36767294,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Goldner-Tillman Pharm,Germany,Hospital,37935553,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Will and Sons Pharmacy,Germany,Hospital,21770674,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Erdman PLC Pharma Plc,Germany,Hospital,15429328,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Towne, Cummerata and Blanda Pharmaceutical Limited",Germany,Hospital,15651019,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kertzmann, Quitzon and Harris Pharmaceutical Limited",Germany,Pharmacy,14835040,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Raynor-Graham,Germany,Pharmacy,40464749,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kirlin, Hamill and Dickinson Pharma Plc",Germany,Pharmacy,13231664,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Blick, Pacocha and Schowalter Pharmaceutical Limited",Germany,Hospital,12122039,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Lesch PLC Pharma Plc,Germany,Pharmacy,16539119,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Upton PLC Pharmaceutical Limited,Germany,Pharmacy,15827332,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kohler-Bednar Pharmaceutical Ltd,Germany,Hospital,21231109,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rowe PLC,Germany,Hospital,15353117,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Lockman-Welch Pharmaceutical Limited,Germany,Pharmacy,17335790,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,West Group Pharm,Germany,Pharmacy,14837356,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Daniel, Baumbach and Nitzsche",Germany,Hospital,23306130,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Steuber, Skiles and Kilback Pharmaceutical Limited",Germany,Pharmacy,20126180,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Beier PLC Pharma Plc,Germany,Pharmacy,22310763,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Paucek, Keeling and Bruen Pharmaceutical Limited",Germany,Pharmacy,16291044,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kling Inc Pharm,Germany,Pharmacy,13323467,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Heller-Abernathy Pharma Plc,Germany,Pharmacy,17794218,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Koch-Osinski Pharmaceutical Ltd,Germany,Hospital,13539952,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Predovic LLC Pharmaceutical Ltd,Germany,Pharmacy,18361211,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Lockman Ltd Pharm,Germany,Pharmacy,14684247,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Fadel-West Pharmacy,Germany,Hospital,40355816,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Parisian, Hagenes and Skiles Pharm",Germany,Hospital,21430428,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kuphal, D'Amore and Bode Pharm",Germany,Hospital,28307927,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Osinski-Botsford Pharmacy,Germany,Hospital,16144534,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Bernier, Murphy and Rau Pharma Plc",Germany,Hospital,14620034,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,White Inc Pharmacy,Germany,Hospital,14110472,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hill Ltd Pharmaceutical Limited,Germany,Hospital,15510941,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Bashirian-Kassulke Pharmacy,Germany,Hospital,20508727,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Zemlak-Witting,Germany,Pharmacy,56006680,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,West Group Pharma Plc,Germany,Pharmacy,13001329,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Powlowski-Buckridge,Germany,Hospital,21966431,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Johns, Mueller and Nitzsche Pharma Plc",Germany,Pharmacy,17268947,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Keeling LLC Pharmaceutical Limited,Germany,Hospital,26532373,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Okuneva-Corkery Pharm,Germany,Hospital,21323000,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rosenbaum-Tromp Pharm,Germany,Hospital,14675189,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,McDermott Group Pharmaceutical Ltd,Germany,Pharmacy,18297390,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Roob PLC Pharm,Germany,Hospital,20926781,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Doyle-Tillman Pharm,Germany,Hospital,17738035,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rohan Inc Pharmaceutical Limited,Germany,Pharmacy,22613614,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Graham and Sons Pharma Plc,Germany,Pharmacy,18293117,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Beer, Kohler and Beatty Pharmacy",Germany,Pharmacy,20164440,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Runolfsson-Powlowski Pharmaceutical Limited,Germany,Pharmacy,14949597,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kris LLC Pharmaceutical Ltd,Germany,Hospital,15762953,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Miller-Satterfield Pharm,Germany,Pharmacy,16786054,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Wintheiser, Breitenberg and Gottlieb",Germany,Hospital,16754942,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Hills, Stroman and Ernser Pharmaceutical Ltd",Germany,Pharmacy,15004858,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Runte-Marquardt Pharmacy,Germany,Pharmacy,21319134,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Koss-Beier Pharmacy,Germany,Hospital,22042100,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Fahey-Prosacco Pharmaceutical Limited,Germany,Pharmacy,24011986,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rogahn-Klein Pharm,Germany,Hospital,13172559,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Denesik, Walter and Beatty",Germany,Pharmacy,12650974,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Barton Ltd Pharmaceutical Limited,Germany,Pharmacy,19688697,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hoeger Ltd Pharm,Germany,Pharmacy,30914624,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Watsica, Larson and Labadie Pharma Plc",Germany,Hospital,17505127,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schaden-Hirthe,Germany,Pharmacy,12523819,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Moore PLC Pharm,Germany,Hospital,11821594,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Pfannerstill, Upton and Balistreri Pharm",Germany,Pharmacy,12344160,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Wunsch, Mills and Walter Pharmaceutical Limited",Germany,Pharmacy,23000519,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Botsford PLC Pharmacy,Poland,Pharmacy,3338687,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Spencer-Jerde Pharmacy,Poland,Pharmacy,3830684,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Bernier, Murphy and Rau Pharmaceutical Ltd",Poland,Pharmacy,4338922,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Gerhold, Mills and Effertz Pharm",Poland,Pharmacy,3138581,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Denesik, Walter and Beatty Pharma Plc",Poland,Pharmacy,3484514,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Bogan, Jacobs and Kris Pharmacy",Poland,Pharmacy,2456080,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hermiston LLC,Poland,Pharmacy,3507057,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Crona Group Pharma Plc,Poland,Pharmacy,3129089,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kertzmann-Ward Pharma Plc,Poland,Pharmacy,3495786,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Osinski-Collins Pharmaceutical Ltd,Poland,Pharmacy,3884235,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kling Inc Pharmaceutical Ltd,Poland,Pharmacy,4017753,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Buckridge, Hand and Hyatt Pharma Plc",Poland,Pharmacy,4539521,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Raynor-Graham Pharmaceutical Limited,Poland,Pharmacy,2624693,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Botsford and Sons Pharmaceutical Ltd,Poland,Pharmacy,4444486,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Beahan, Littel and Ondricka Pharmacy",Poland,Pharmacy,2399758,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Wunsch, Mills and Walter",Poland,Pharmacy,2757470,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rohan Inc,Poland,Pharmacy,3926971,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Roob PLC,Poland,Pharmacy,4390668,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Prohaska-Kuhic Pharmacy,Poland,Pharmacy,3101884,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hermiston and Sons Pharma Plc,Poland,Pharmacy,2715991,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Parisian Ltd Pharm,Poland,Pharmacy,3381766,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Sanford, Franecki and Greenholt",Poland,Pharmacy,3070886,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Paucek, Keeling and Bruen Pharm",Poland,Pharmacy,2835262,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Fadel-West,Poland,Pharmacy,3189603,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Leuschke, Waters and Schowalter Pharmaceutical Ltd",Poland,Pharmacy,4129060,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Streich PLC Pharmaceutical Limited,Poland,Pharmacy,5287741,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Vandervort LLC Pharma Plc,Poland,Pharmacy,4184133,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Heathcote, Grant and Witting Pharm",Poland,Pharmacy,3030441,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Mante-Grady Pharm,Poland,Pharmacy,3553977,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Balistreri Group Pharmaceutical Ltd,Poland,Pharmacy,4643931,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Feest-Kshlerin Pharmaceutical Ltd,Poland,Pharmacy,5283949,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schaden-Hirthe Pharmaceutical Ltd,Poland,Pharmacy,3352381,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Zemlak-Witting Pharmacy,Poland,Pharmacy,3125023,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Erdman PLC Pharmacy,Poland,Pharmacy,3183228,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Rowe PLC Pharmaceutical Ltd,Poland,Pharmacy,2271736,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Lebsack, Yost and Heller Pharmaceutical Limited",Poland,Pharmacy,3206856,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Ward Group Pharmaceutical Limited,Poland,Pharmacy,4787357,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Lockman Ltd,Poland,Pharmacy,2957683,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Medhurst-Beer Pharmaceutical Limited,Poland,Pharmacy,3694840,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Spinka, Schowalter and Conn Pharmaceutical Limited",Poland,Pharmacy,3752993,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Brakus, Rempel and Harber Pharma Plc",Poland,Pharmacy,1780951,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Walter Ltd,Poland,Pharmacy,2232664,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Ondricka, Rosenbaum and Beahan",Poland,Hospital,4642387,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Hirthe, Williamson and Macejkovic Pharma Plc",Poland,Hospital,2735314,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Lockman-Welch Pharm,Poland,Hospital,2837300,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Abernathy Group Pharmaceutical Limited,Poland,Hospital,2079222,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Purdy Ltd Pharmaceutical Limited,Poland,Hospital,5462556,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Daugherty-Rempel Pharma Plc,Poland,Hospital,4546602,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Cormier, Dietrich and Zulauf Pharma Plc",Poland,Hospital,4507086,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kshlerin, Ryan and Leuschke Pharma Plc",Poland,Hospital,3293958,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Stehr-Champlin Pharmaceutical Limited,Poland,Hospital,2413607,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Effertz, Heaney and Tillman Pharmaceutical Ltd",Poland,Hospital,3432986,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Johnson, Friesen and Torphy Pharma Plc",Poland,Hospital,3226534,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Nolan, DuBuque and Schultz Pharm",Poland,Hospital,3343612,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Torp-Fisher Pharma Plc,Poland,Hospital,4160580,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Herman, Rice and Rippin",Poland,Hospital,2270513,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Funk, Ratke and Heaney Pharmacy",Poland,Hospital,3897042,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hartmann-Wolf,Poland,Hospital,2101036,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Upton, Abernathy and Goodwin Pharmaceutical Ltd",Poland,Hospital,2971636,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Koch-Osinski Pharm,Poland,Hospital,2336644,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Senger-Kirlin Pharmacy,Poland,Hospital,2918224,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Fritsch-Hauck Pharma Plc,Poland,Hospital,2973355,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schaefer Group Pharmaceutical Limited,Poland,Hospital,2989447,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kozey Ltd Pharmaceutical Ltd,Poland,Hospital,3927833,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Funk PLC Pharmaceutical Limited,Poland,Hospital,4191722,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Ondricka Ltd Pharmacy,Poland,Hospital,4578864,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Bartoletti-Altenwerth,Poland,Hospital,1993484,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Waelchi LLC Pharmacy,Poland,Hospital,3168766,#N/A,#N/A,,,,,,,,,,,,,,,,
